State,2013 Growth %,2014 Growth %,2015 Growth %,2016 Growth %,2017 Growth %,2018 Growth %,2013 GDP,2018 GDP
Alabama,1.17,0.78,5.04,2.89,1.11,4.88,81581,94229
Alaska,2.84,1.48,1.4,3.86,-3.1,4.01,19304,20794
Arizona,7.08,3.91,6.55,6.7,4.72,6.25,164838,216657
Arkansas,0.76,1.45,6.78,-0.27,1.05,5.15,46586,53473
California,6.61,6.9,6.39,5.28,6.73,5.25,1498946,2015919
Colorado,3.41,3.54,8.76,8.43,7.42,5.59,159396,220767
Connecticut,-2.52,-2.13,1.24,4.0,1.98,5.63,144240,160112
Delaware,3.47,-3.17,9.41,-3.39,-0.32,4.55,39638,42277
District of Columbia,4.43,9.67,3.17,2.61,3.27,3.81,40086,49887
Florida,4.79,4.04,8.45,5.76,5.2,5.1,523030,690115
Georgia,4.05,3.43,6.61,5.51,10.13,6.22,217698,296272
Hawaii,2.68,-0.53,10.01,7.96,4.18,4.24,58818,75464
Idaho,7.35,1.07,6.36,3.85,9.52,5.98,32894,42624
Illinois,3.35,3.72,5.05,2.45,2.01,4.37,366618,435725
Indiana,2.26,2.04,3.89,1.9,5.82,5.09,120796,145120
Iowa,4.13,1.78,3.77,2.95,3.25,4.78,66459,78180
Kansas,-5.02,10.5,11.89,9.63,-0.18,6.06,56368,80884
Kentucky,3.6,0.67,3.17,4.02,1.6,4.24,75527,86410
Louisiana,2.73,-0.01,4.79,0.0,1.36,4.68,93434,103874
Maine,0.69,5.13,-0.66,4.47,1.95,4.93,31918,37254
Maryland,1.68,2.51,5.65,7.65,0.56,4.48,225073,275691
Massachusetts,2.62,3.63,3.82,4.8,4.4,4.68,261807,322568
Michigan,4.59,3.91,5.87,4.9,3.99,4.77,201371,253185
Minnesota,1.75,2.84,2.76,-0.84,3.67,4.78,142306,161984
Mississippi,3.55,1.54,6.6,1.85,1.73,4.89,40842,48048
Missouri,3.28,0.17,5.28,0.74,0.78,4.94,126700,142362
Montana,4.18,0.0,9.38,1.48,7.11,5.82,22654,28501
Nebraska,2.74,2.5,9.4,3.47,2.43,5.16,39456,49310
Nevada,9.22,1.85,13.71,0.29,7.75,5.65,76896,101678
New Hampshire,0.52,3.13,4.45,3.48,2.0,4.28,41228,48883
New Jersey,2.01,0.11,3.51,2.44,-2.17,4.48,368164,399458
New Mexico,0.72,3.29,3.75,1.37,2.1,5.35,44921,52491
New York,2.4,4.28,2.15,4.36,7.43,4.18,765174,952095
North Carolina,3.18,2.67,5.73,4.08,5.66,5.61,204206,257455
North Dakota,15.57,12.54,3.55,-1.86,1.27,4.74,21315,25857
Ohio,3.11,2.96,2.95,3.45,3.03,3.9,251300,294971
Oklahoma,0.98,1.57,3.01,-1.57,1.35,5.15,68934,75648
Oregon,3.64,5.12,10.55,10.32,10.33,5.79,103639,155067
Pennsylvania,2.37,2.24,3.27,1.58,2.34,4.95,331174,381459
Rhode Island,1.0,-1.89,2.24,1.15,-1.08,4.6,33142,34794
South Carolina,5.99,3.28,5.43,6.25,3.88,5.62,92090,116890
South Dakota,2.45,1.44,8.85,4.63,-2.15,4.7,16269,19257
Tennessee,4.12,2.74,6.22,4.09,4.84,6.19,126716,160267
Texas,5.22,9.62,3.47,5.07,5.92,5.58,526260,701394
Utah,4.41,5.02,7.31,10.83,9.93,6.18,66831,97444
Vermont,2.28,-1.07,5.84,4.28,-2.15,4.59,16713,18675
Virginia,2.58,3.44,2.47,2.51,3.11,5.05,255399,300550
Washington,6.29,7.0,6.78,6.91,8.12,6.36,220924,310326
West Virginia,0.4,-0.64,3.6,5.14,-2.73,6.23,27372,30611
Wisconsin,1.78,-0.61,2.43,3.89,2.04,4.68,139016,157051
Wyoming,3.32,5.34,6.28,-1.79,-4.13,5.79,15357,17127
